Adhesive Bandage,バンソウコウ,"Your average adhesive
bandage.
Restores 20 HP to one ally.",Lunge,トツゲキ,"Medium Phys dmg to an
area of foes.",Shibuya Crossing,I am the pillager of twilight—[1B]T1%s[1B]R!,"You need my help once more?
Very well, use my power wisely."
Matarukaja,アイテム1141,"Teach a Persona
Matarukaja.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Marakukaja,アイテム1142,"Teach a Persona
Marakukaja.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Masukukaja,アイテム1143,"Teach a Persona
Masukukaja.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Charge,アイテム1144,"Teach a Persona
Charge.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Concentrate,アイテム1145,"Teach a Persona
Concentrate.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Tarunda,アイテム1146,"Teach a Persona
Tarunda.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Rakunda,アイテム1147,"Teach a Persona
Rakunda.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Sukunda,アイテム1148,"Teach a Persona
Sukunda.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Debilitate,アイテム1149,"Teach a Persona
Debilitate.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Matarunda,アイテム1150,"Teach a Persona
Matarunda.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Marakunda,アイテム1151,"Teach a Persona
Marakunda.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Masukunda,アイテム1152,"Teach a Persona
Masukunda.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Dekunda,アイテム1153,"Teach a Persona
Dekunda.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Dekaja,アイテム1154,"Teach a Persona
Dekaja.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Tetraja,アイテム1155,"Teach a Persona
Tetraja.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Resist Phys,アイテム1156,"Teach a Persona
Resist Phys.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Resist Fire,アイテム1157,"Teach a Persona
Resist Fire.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Null Fire,アイテム1158,"Teach a Persona
Null Fire.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Drain Fire,アイテム1159,"Teach a Persona
Drain Fire.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Resist Ice,アイテム1160,"Teach a Persona
Resist Ice.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Null Ice,アイテム1161,"Teach a Persona
Null Ice.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Drain Ice,アイテム1162,"Teach a Persona
Drain Ice.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Resist Wind,アイテム1163,"Teach a Persona
Resist Wind.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Null Wind,アイテム1164,"Teach a Persona
Null Wind.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Drain Wind,アイテム1165,"Teach a Persona
Drain Wind.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Resist Elec,アイテム1166,"Teach a Persona
Resist Elec.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Null Elec,アイテム1167,"Teach a Persona
Null Elec.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Drain Elec,アイテム1168,"Teach a Persona
Drain Elec.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Resist Psy,アイテム1169,"Teach a Persona
Resist Psy.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Null Psy,アイテム1170,"Teach a Persona
Null Psy.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Drain Psy,アイテム1171,"Teach a Persona
Drain Psy.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Resist Nuke,アイテム1172,"Teach a Persona
Resist Nuke.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Null Nuke,アイテム1173,"Teach a Persona
Null Nuke.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Drain Nuke,アイテム1174,"Teach a Persona
Drain Nuke.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Resist Bless,アイテム1175,"Teach a Persona
Resist Bless.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Null Bless,アイテム1176,"Teach a Persona
Null Bless.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Drain Bless,アイテム1177,"Teach a Persona
Drain Bless.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Resist Curse,アイテム1178,"Teach a Persona
Resist Curse.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Null Curse,アイテム1179,"Teach a Persona
Null Curse.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Drain Curse,アイテム1180,"Teach a Persona
Drain Curse.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Fortify Spirit,アイテム1181,"Teach a Persona
Fortify Spirit.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Null Dizzy,アイテム1182,"Teach a Persona
Null Dizzy.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Null Fear,アイテム1183,"Teach a Persona
Null Fear.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Null Forget,アイテム1184,"Teach a Persona
Null Forget.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Null Sleep,アイテム1185,"Teach a Persona
Null Sleep.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Null Rage,アイテム1186,"Teach a Persona
Null Rage.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Null Brainwash,アイテム1187,"Teach a Persona
Null Brainwash.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Dodge Phys,アイテム1188,"Teach a Persona
Dodge Phys.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Evade Phys,アイテム1189,"Teach a Persona
Evade Phys.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Dodge Fire,アイテム1190,"Teach a Persona
Dodge Fire.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Evade Fire,アイテム1191,"Teach a Persona
Evade Fire.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Dodge Ice,アイテム1192,"Teach a Persona
Dodge Ice.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Evade Ice,アイテム1193,"Teach a Persona
Evade Ice.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Dodge Wind,アイテム1194,"Teach a Persona
Dodge Wind.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Evade Wind,アイテム1195,"Teach a Persona
Evade Wind.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Dodge Elec,アイテム1196,"Teach a Persona
Dodge Elec.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Evade Elec,アイテム1197,"Teach a Persona
Evade Elec.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Dodge Psy,アイテム1198,"Teach a Persona
Dodge Psy.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Evade Psy,アイテム1199,"Teach a Persona
Evade Psy.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Dodge Nuke,アイテム1200,"Teach a Persona
Dodge Nuke.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Evade Nuke,アイテム1201,"Teach a Persona
Evade Nuke.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Dodge Bless,アイテム1202,"Teach a Persona
Dodge Bless.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Evade Bless,アイテム1203,"Teach a Persona
Evade Bless.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Dodge Curse,アイテム1204,"Teach a Persona
Dodge Curse.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Evade Curse,アイテム1205,"Teach a Persona
Evade Curse.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Angelic Grace,アイテム1206,"Teach a Persona
Angelic Grace.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Gun Boost,アイテム1207,"Teach a Persona
Gun Boost.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Gun Amp,アイテム1208,"Teach a Persona
Gun Amp.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Fire Boost,アイテム1209,"Teach a Persona
Fire Boost.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Fire Amp,アイテム1210,"Teach a Persona
Fire Amp.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Ice Boost,アイテム1211,"Teach a Persona
Ice Boost.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Ice Amp,アイテム1212,"Teach a Persona
Ice Amp.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Wind Boost,アイテム1213,"Teach a Persona
Wind Boost.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Wind Amp,アイテム1214,"Teach a Persona
Wind Amp.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Elec Boost,アイテム1215,"Teach a Persona
Elec Boost.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Elec Amp,アイテム1216,"Teach a Persona
Elec Amp.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Psy Boost,アイテム1217,"Teach a Persona
Psy Boost.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Psy Amp,アイテム1218,"Teach a Persona
Psy Amp.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Nuke Boost,アイテム1219,"Teach a Persona
Nuke Boost.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Nuke Amp,アイテム1220,"Teach a Persona
Nuke Amp.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Bless Boost,アイテム1221,"Teach a Persona
Bless Boost.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Bless Amp,アイテム1222,"Teach a Persona
Bless Amp.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Curse Boost,アイテム1223,"Teach a Persona
Curse Boost.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Curse Amp,アイテム1224,"Teach a Persona
Curse Amp.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Divine Grace,アイテム1225,"Teach a Persona
Divine Grace.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Spell Master,アイテム1226,"Teach a Persona
Spell Master.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Hama Boost,アイテム1227,"Teach a Persona
Hama Boost.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Mudo Boost,アイテム1228,"Teach a Persona
Mudo Boost.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Burn Boost,アイテム1229,"Teach a Persona
Burn Boost.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Freeze Boost,アイテム1230,"Teach a Persona
Freeze Boost.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Shock Boost,アイテム1231,"Teach a Persona
Shock Boost.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Dizzy Boost,アイテム1232,"Teach a Persona
Dizzy Boost.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Fear Boost,アイテム1233,"Teach a Persona
Fear Boost.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Forget Boost,アイテム1234,"Teach a Persona
Forget Boost.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Sleep Boost,アイテム1235,"Teach a Persona
Sleep Boost.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Rage Boost,アイテム1236,"Teach a Persona
Rage Boost.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Brainwash Boost,アイテム1237,"Teach a Persona
Brainwash Boost.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Ailment Boost,アイテム1238,"Teach a Persona
Ailment Boost.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Firm Stance,アイテム1239,"Teach a Persona
Firm Stance.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Sharp Student,アイテム1240,"Teach a Persona
Sharp Student.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Apt Pupil,アイテム1241,"Teach a Persona
Apt Pupil.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Attack Master,アイテム1242,"Teach a Persona
Attack Master.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Defense Master,アイテム1243,"Teach a Persona
Defense Master.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Speed Master,アイテム1244,"Teach a Persona
Speed Master.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Regenerate 1,アイテム1245,"Teach a Persona
Regenerate 1.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Regenerate 2,アイテム1246,"Teach a Persona
Regenerate 2.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Regenerate 3,アイテム1247,"Teach a Persona
Regenerate 3.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Endure,アイテム1248,"Teach a Persona
Endure.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Enduring Soul,アイテム1249,"Teach a Persona
Enduring Soul.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Survival Trick,アイテム1250,"Teach a Persona
Survival Trick.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1251,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1252,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Rebel Soul,アイテム1253,"Teach a Persona
Rebel Soul.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Knockdown Style,アイテム1254,"Teach a Persona
Knockdown Style.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Soul Thief,アイテム1255,"Teach a Persona
Soul Thief.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Technical Adept,アイテム1256,"Teach a Persona
Technical Adept.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
Technical High,アイテム1257,"Teach a Persona
Technical High.",[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1258,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1259,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1260,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1261,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1262,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1263,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1264,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1265,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1266,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1267,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1268,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1269,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1270,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1271,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1272,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1273,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1274,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1275,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1276,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1277,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1278,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1279,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1280,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1281,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1282,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1283,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1284,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1285,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1286,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1287,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1288,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1289,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1290,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1291,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1292,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1293,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1294,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1295,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1296,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1297,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1298,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1299,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1300,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1301,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1302,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1303,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1304,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1305,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1306,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1307,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1308,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1309,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1310,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1311,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1312,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1313,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1314,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1315,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1316,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1317,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1318,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1319,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1320,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1321,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1322,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1323,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1324,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1325,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1326,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1327,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1328,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1329,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1330,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1331,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1332,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1333,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1334,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1335,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1336,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1337,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1338,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム1339,未作成テキスト,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z,[1B]Z
